""	"colony"	"timepoint"	"site"	"coral.species"	"input"	"filtered"	"denoised"	"merged"	"nonchim"
"CN021-1"	"CN021"	"Initial"	"Marathon"	"Colpophyllia natans"	"17474"	" 9525"	" 5065"	" 3267"	" 3198"
"CN021-2"	"CN021"	"Initial"	"Marathon"	"Colpophyllia natans"	"10764"	" 5926"	"  751"	"  570"	"  570"
"CN021-3"	"CN021"	"Initial"	"Marathon"	"Colpophyllia natans"	"10146"	" 5625"	" 1222"	" 1155"	" 1155"
"CN021-4"	"CN021"	"2-month"	"West Turtle"	"Colpophyllia natans"	"18914"	" 9211"	" 8718"	" 7991"	" 7980"
"CN021-5"	"CN021"	"2-month"	"West Turtle"	"Colpophyllia natans"	"15677"	" 8388"	" 8098"	" 7826"	" 7826"
"CN021-6"	"CN021"	"2-month"	"West Turtle"	"Colpophyllia natans"	"15560"	" 8620"	" 8342"	" 8179"	" 8179"
"CN022-1"	"CN022"	"Initial"	"Marathon"	"Colpophyllia natans"	"12279"	" 6794"	" 6117"	" 1554"	" 1554"
"CN022-2"	"CN022"	"Initial"	"Marathon"	"Colpophyllia natans"	"21748"	"14004"	"10756"	" 6515"	" 6488"
"CN022-4"	"CN022"	"2-month"	"West Turtle"	"Colpophyllia natans"	"16649"	" 9009"	" 8562"	" 1534"	" 1534"
"CN022-5"	"CN022"	"2-month"	"West Turtle"	"Colpophyllia natans"	"12833"	" 6803"	" 6441"	" 1438"	" 1438"
"CN022-6"	"CN022"	"2-month"	"West Turtle"	"Colpophyllia natans"	"22146"	"11485"	"10955"	" 1543"	" 1543"
"CN026-1"	"CN026"	"Initial"	"Marathon"	"Colpophyllia natans"	"14571"	" 6342"	" 5984"	"  519"	"  519"
"CN026-3"	"CN026"	"Initial"	"Marathon"	"Colpophyllia natans"	"10878"	" 6053"	" 5764"	"  555"	"  555"
"CN026-4"	"CN026"	"2-month"	"West Turtle"	"Colpophyllia natans"	"12429"	" 8048"	" 7211"	" 1594"	" 1594"
"CN026-5"	"CN026"	"2-month"	"West Turtle"	"Colpophyllia natans"	"19759"	"10540"	"10102"	" 9509"	" 9509"
"CN026-6"	"CN026"	"2-month"	"West Turtle"	"Colpophyllia natans"	"23017"	"13626"	"13277"	" 2307"	" 2307"
"CN027-1"	"CN027"	"Initial"	"Marathon"	"Colpophyllia natans"	"14875"	" 8287"	" 7830"	" 3928"	" 3928"
